activation,batch_size,dropout1,dropout2,dropout3,dropout4,embed_hidden_size,epochs,loss,optimizer,patience,proportion,id,objective,elapsed_sec
tanh,256,0.15,0.15,0.0,0.05,21,100,binary_crossentropy,Adam,20,0.9,313d10b6-4ffe-11ec-9e2f-cd09b029aeb7,0.513688862323761,1698.8634514808655
relu,256,0.2,0.15,0.0,0.05,21,100,binary_crossentropy,Adam,20,0.95,313d10b8-4ffe-11ec-9e2f-cd09b029aeb7,0.6066105365753174,1753.8297305107117
tanh,1024,0.1,0.05,0.1,0.0,21,100,binary_crossentropy,Adam,20,0.9,313d10ba-4ffe-11ec-9e2f-cd09b029aeb7,0.513688862323761,1800.2262103557587
relu,512,0.2,0.05,0.0,0.0,21,100,binary_crossentropy,Adam,20,0.9,6f6a5026-4ffe-11ec-9e2f-cd09b029aeb7,0.513688862323761,1847.430448293686
tanh,1024,0.2,0.15,0.05,0.05,21,100,binary_crossentropy,Adam,20,0.9,98c10906-4ffe-11ec-9e2f-cd09b029aeb7,0.5831111073493958,1893.7559945583344
gelu,256,0.15,0.15,0.1,0.0,21,100,binary_crossentropy,Adam,20,0.95,beab16e8-4ffe-11ec-9e2f-cd09b029aeb7,0.7058947086334229,1975.509076833725
relu,256,0.2,0.1,0.0,0.05,21,100,binary_crossentropy,Adam,20,0.9,e895d4a2-4ffe-11ec-9e2f-cd09b029aeb7,0.513688862323761,2030.3382308483124
gelu,1024,0.2,0.05,0.1,0.05,21,100,binary_crossentropy,Adam,20,0.95,0c48d6b0-4fff-11ec-9e2f-cd09b029aeb7,0.6494736671447754,2076.654352426529
relu,1024,0.2,0.15,0.1,0.05,21,100,binary_crossentropy,Adam,20,0.9,28492a9a-4fff-11ec-9e2f-cd09b029aeb7,0.6083555817604065,2123.813886165619
gelu,1024,0.15,0.1,0.05,0.05,21,100,binary_crossentropy,Adam,20,0.9,4598e04a-4fff-11ec-9e2f-cd09b029aeb7,0.7244222164154053,2172.664848089218
gelu,256,0.2,0.1,0.0,0.05,21,100,binary_crossentropy,Adam,20,0.9,6ae8efe8-4fff-11ec-9e2f-cd09b029aeb7,0.6849333047866821,2247.42534327507
relu,512,0.2,0.1,0.1,0.05,21,100,binary_crossentropy,Adam,20,0.9,89320c82-4fff-11ec-9e2f-cd09b029aeb7,0.513688862323761,2305.0119862556458
gelu,512,0.1,0.1,0.0,0.05,21,100,binary_crossentropy,Adam,20,0.95,abe524a8-4fff-11ec-9e2f-cd09b029aeb7,0.6951578855514526,2368.8841981887817
relu,256,0.1,0.1,0.05,0.05,21,100,binary_crossentropy,Adam,20,0.95,cb972832-4fff-11ec-9e2f-cd09b029aeb7,0.6038105487823486,2429.860476732254
tanh,256,0.1,0.1,0.1,0.05,21,100,binary_crossentropy,Adam,20,0.9,e683b99e-4fff-11ec-9e2f-cd09b029aeb7,0.513688862323761,2484.485349416733
relu,512,0.1,0.05,0.05,0.0,21,100,binary_crossentropy,Adam,20,0.9,03509308-5000-11ec-9e2f-cd09b029aeb7,0.6994888782501221,2537.81489610672
relu,512,0.1,0.05,0.05,0.05,21,100,binary_crossentropy,Adam,20,0.95,20242ed6-5000-11ec-9e2f-cd09b029aeb7,0.6146526336669922,2586.473331928253
relu,1024,0.2,0.1,0.1,0.05,21,100,binary_crossentropy,Adam,20,0.9,3cde8c06-5000-11ec-9e2f-cd09b029aeb7,0.5959110856056213,2632.9401245117188
tanh,1024,0.15,0.05,0.05,0.05,21,100,binary_crossentropy,Adam,20,0.9,6deb91a4-5000-11ec-9e2f-cd09b029aeb7,0.513688862323761,2677.1576597690582
gelu,256,0.15,0.1,0.05,0.0,21,100,binary_crossentropy,Adam,20,0.95,8dd2bba0-5000-11ec-9e2f-cd09b029aeb7,0.6683368682861328,2745.233177423477
tanh,1024,0.1,0.15,0.05,0.0,21,100,binary_crossentropy,Adam,20,0.9,ab69cffa-5000-11ec-9e2f-cd09b029aeb7,0.513688862323761,2790.5189247131348
tanh,1024,0.2,0.05,0.1,0.0,21,100,binary_crossentropy,Adam,20,0.95,c7d311ce-5000-11ec-9e2f-cd09b029aeb7,0.5177263021469116,2834.7485513687134
gelu,256,0.1,0.05,0.0,0.0,21,100,binary_crossentropy,Adam,20,0.95,e1caece6-5000-11ec-9e2f-cd09b029aeb7,0.670357882976532,2902.91992521286
relu,512,0.1,0.1,0.05,0.0,21,100,binary_crossentropy,Adam,20,0.9,fd6a90fa-5000-11ec-9e2f-cd09b029aeb7,0.6532222032546997,2952.1686992645264
gelu,512,0.15,0.1,0.05,0.05,21,100,binary_crossentropy,Adam,20,0.9,1c9e7c02-5001-11ec-9e2f-cd09b029aeb7,0.7201333045959473,3009.7979757785797
gelu,1024,0.2,0.1,0.1,0.05,21,100,binary_crossentropy,Adam,20,0.9,38490094-5001-11ec-9e2f-cd09b029aeb7,0.6773333549499512,3058.7245116233826
gelu,1024,0.15,0.15,0.1,0.05,21,100,binary_crossentropy,Adam,20,0.9,59769614-5001-11ec-9e2f-cd09b029aeb7,0.670377790927887,3105.808970928192
relu,256,0.15,0.05,0.1,0.05,21,100,binary_crossentropy,Adam,20,0.9,78004594-5001-11ec-9e2f-cd09b029aeb7,0.6582000255584717,3166.1853551864624
tanh,512,0.15,0.1,0.0,0.05,21,100,binary_crossentropy,Adam,20,0.95,9de7ab08-5001-11ec-9e2f-cd09b029aeb7,0.5177263021469116,3214.589070558548
tanh,256,0.2,0.15,0.05,0.05,21,100,binary_crossentropy,Adam,20,0.95,be457e3e-5001-11ec-9e2f-cd09b029aeb7,0.5177263021469116,3275.801119327545
tanh,512,0.15,0.15,0.0,0.0,21,100,binary_crossentropy,Adam,20,0.95,dc6ce712-5001-11ec-9e2f-cd09b029aeb7,0.5178737044334412,3321.595729827881
