id,arch_seq,objective,elapsed_sec
a344961a-eb61-11eb-b779-e5b65ebc440b,"[0.8323024001314224, 0.7889290619064494, 0.9385678954207153, 0.16059637997392429, 0.6488539744120456, 0.8325765404421139, 0.9888735139157468, 0.9322143923769549, 0.7933123406870071]",-7.499291896820068,271.0166244506836
a344961b-eb61-11eb-b779-e5b65ebc440b,"[0.9686245146163092, 0.7522793996593736, 0.5986164334503081, 0.29211329232047056, 0.6141901257605182, 0.868276474909428, 0.419108550687748, 0.07145424073290252, 0.6645342731511337]",-7.499293327331543,304.22163248062134
a344961c-eb61-11eb-b779-e5b65ebc440b,"[0.6552777516203547, 0.37168108205081196, 0.33839138799031543, 0.8574947357431263, 0.6940918600862482, 0.5627441414175176, 0.10876974136211015, 0.15684985585953715, 0.4418082267553851]",-7.8392486572265625,293.1413342952728
a344961d-eb61-11eb-b779-e5b65ebc440b,"[0.052293076746241285, 0.18608932171745585, 0.1176854896810331, 0.8264259223791218, 0.04974500136550419, 0.9141271590731849, 0.3235800016273943, 0.6599185576030647, 0.6077126148121853]",-7.499297142028809,299.86997079849243
a344961e-eb61-11eb-b779-e5b65ebc440b,"[0.2946956352346394, 0.4004796012009284, 0.8183992624434315, 0.28450129705895755, 0.7607887030590094, 0.7435158363276662, 0.7676041176371003, 0.10351299925308244, 0.30508985743081574]",-7.839241981506348,280.6447284221649
a344961f-eb61-11eb-b779-e5b65ebc440b,"[0.1888008515470423, 0.02211058320770387, 0.2967327327182644, 0.749886502185734, 0.9543340305827737, 0.002757923065075385, 0.8303355523432604, 0.07308004898441245, 0.6818160182972661]",-7.839242458343506,305.65728640556335
a3449620-eb61-11eb-b779-e5b65ebc440b,"[0.08587114485182734, 0.6915890686680615, 0.9175691785899491, 0.3915943857752099, 0.6260915709683054, 0.7140948610103063, 0.6989673410461785, 0.3629513959562475, 0.9737897305250066]",-7.839244842529297,280.9458439350128
a3449621-eb61-11eb-b779-e5b65ebc440b,"[0.3794147633221209, 0.724613385206392, 0.524705251198639, 0.4287341558636125, 0.30551165683283954, 0.43807640861070096, 0.2564984149608184, 0.2837501901527797, 0.29664675173952304]",-7.499291896820068,285.2406361103058
014542d2-eb62-11eb-b77b-e5b65ebc440b,"[0.4121142205820857, 0.3578664943058186, 0.22733496677363685, 0.18581854646089946, 0.43391663957418924, 0.36430606424328904, 0.8618661932213532, 0.9112127537704477, 0.5005133250276492]",-7.499296188354492,414.56982827186584
07023c16-eb62-11eb-b77b-e5b65ebc440b,"[0.7371117222085732, 0.8773552499452315, 0.3042224276536367, 0.05399719199969677, 0.7938259520345922, 0.5592887767814945, 0.6508534251641926, 0.7062136306338586, 0.07042756185479448]",-7.499292373657227,442.42404532432556
07023c17-eb62-11eb-b77b-e5b65ebc440b,"[0.5289211282833504, 0.20626805906491208, 0.5188964429315469, 0.34560873635150735, 0.23252478299575807, 0.15049999729482377, 0.12113432997025853, 0.4000916812130708, 0.18663468955470686]",-7.839244842529297,428.1512794494629
09bf90de-eb62-11eb-b77b-e5b65ebc440b,"[0.08500382061351675, 0.9299405494849631, 0.794581999908632, 0.256723804862783, 0.43083674448235476, 0.9859864595614676, 0.632656738449379, 0.10325137719801203, 0.9060569459404781]",-7.83924674987793,448.60691380500793
0e76b9b8-eb62-11eb-b77b-e5b65ebc440b,"[0.6238014645676035, 0.46302578657514626, 0.27325014455843255, 0.46993386789108116, 0.35246881753563253, 0.8630423198176378, 0.2267033929467298, 0.8914502313332626, 0.20378936970613426]",-7.49929141998291,446.9756987094879
1277ba1c-eb62-11eb-b77b-e5b65ebc440b,"[0.7029719069156583, 0.48219487722011, 0.08562595934930128, 0.8947183476453098, 0.4279234112461118, 0.17210607279759949, 0.12438688872197323, 0.3296574308121626, 0.2570640939508868]",-7.839243412017822,461.50623846054077
150fcda0-eb62-11eb-b77b-e5b65ebc440b,"[0.9790382748313371, 0.08335030145645872, 0.8180974240995301, 0.23614836314113996, 0.5024500777631082, 0.3076444360631452, 0.8531366627599036, 0.6094117684401376, 0.36217601167474334]",-7.8392438888549805,455.5702178478241
15eadb7a-eb62-11eb-b77b-e5b65ebc440b,"[0.23186934568141437, 0.009918478121175966, 0.9469398651490949, 0.6557652551729191, 0.07021095767799457, 0.5382911161108787, 0.8575049225455789, 0.6331142451867912, 0.24119660507708196]",-7.839242458343506,460.07013726234436
56d5ad40-eb62-11eb-b77b-e5b65ebc440b,"[0.25115011042544255, 0.008666602895180286, 0.574007524631404, 0.8273919005340072, 0.6361905672637143, 0.6318902366378124, 0.20937749329603517, 0.7575470589113212, 0.4126362184199489]",-7.499288558959961,591.1115326881409
5eedfd20-eb62-11eb-b77b-e5b65ebc440b,"[0.3204382419724072, 0.9166424305612789, 0.2344305709060841, 0.747116169715631, 0.2964283994596223, 0.44685950219788484, 0.3599822659638243, 0.819837965549477, 0.02698325342673491]",-7.83924674987793,574.0193428993225
676fd6e4-eb62-11eb-b77b-e5b65ebc440b,"[0.28701552821823273, 0.17796145286163123, 0.0659906725223467, 0.894088528517939, 0.6057362308571247, 0.7605802616452157, 0.7328613403663116, 0.4321223714227862, 0.10162025438590538]",-7.839242458343506,600.8434302806854
6a265d90-eb62-11eb-b77b-e5b65ebc440b,"[0.4791059409649412, 0.48503452442229567, 0.6624684961277054, 0.5319246171479771, 0.28310957211072185, 0.036976180650713175, 0.6104400083042392, 0.5829951937270146, 0.9896686490745416]",-7.839242935180664,612.9589233398438
6b1f4612-eb62-11eb-b77b-e5b65ebc440b,"[0.7739063906415188, 0.5842268568489838, 0.9664904795805073, 0.6243467636443594, 0.6349776684849187, 0.9285547754498332, 0.36468465487641943, 0.7770893524575121, 0.7263002951706109]",-7.8392438888549805,620.6649212837219
6f45cd6a-eb62-11eb-b77b-e5b65ebc440b,"[0.20955754686073014, 0.5306387876117027, 0.5961190214048963, 0.07258084459742387, 0.005039626205003422, 0.4351805433819139, 0.5177916430444199, 0.2963466819373025, 0.3586349496171355]",-7.499297142028809,608.3465197086334
71f47282-eb62-11eb-b77b-e5b65ebc440b,"[0.7983078936250363, 0.7321151195536078, 0.4372003685725423, 0.0796013146755512, 0.8138099916639608, 0.37368337367555415, 0.0013758030856926284, 0.525259367793126, 0.7141949385736093]",-7.499299049377441,635.1298048496246
72cf8fca-eb62-11eb-b77b-e5b65ebc440b,"[0.28961437031807713, 0.1439164153672149, 0.39758134922498933, 0.7694176387606168, 0.3765988298323376, 0.9284283280181677, 0.008935317948823851, 0.5421193764840121, 0.7319232616092026]",-7.499295234680176,611.7129456996918
b5dfc4e2-eb62-11eb-b77b-e5b65ebc440b,"[0.4820899477318924, 0.5107631923917123, 0.43670703705793, 0.10572206716939259, 0.2407982385880133, 0.39288028166286704, 0.2796854546086587, 0.650825010904025, 0.511137984497863]",-7.499294281005859,738.7991745471954
c00fd0ba-eb62-11eb-b77b-e5b65ebc440b,"[0.9979460884847658, 0.19770677830046102, 0.545802580549213, 0.699506244595207, 0.9440686502655549, 0.19871069771487426, 0.5089413827852498, 0.8535436223973187, 0.03346900797906116]",-7.499292373657227,746.8509228229523
c5dcc002-eb62-11eb-b77b-e5b65ebc440b,"[0.8990635107500896, 0.6806774190927466, 0.6242076550013774, 0.46303618604423946, 0.442112505368915, 0.14734956310015668, 0.9900697287031337, 0.594614208330197, 0.5640155782712359]",-7.839242458343506,752.0865910053253
ca55a860-eb62-11eb-b77b-e5b65ebc440b,"[0.4684432846353095, 0.6640497084669419, 0.087269831982972, 0.4160907203523978, 0.48889672949957264, 0.34231293842221855, 0.397453029795828, 0.7823071853375073, 0.7618542770213188]",-7.499290943145752,754.6100285053253
cc574f6a-eb62-11eb-b77b-e5b65ebc440b,"[0.20077553564210748, 0.06292929104177736, 0.2632947312415752, 0.02280566864296818, 0.3287439132413714, 0.5430480802826292, 0.09979942549994236, 0.8697474859609705, 0.33419135525100474]",-7.8392438888549805,753.6198105812073
cc574f6b-eb62-11eb-b77b-e5b65ebc440b,"[0.9286784059091651, 0.6932234197713923, 0.15854557085987864, 0.7779851452988675, 0.6476860137509096, 0.8483564907295158, 0.6648910690037784, 0.02040300880648893, 0.8897038340638294]",-7.839244842529297,762.369957447052
d1ad621a-eb62-11eb-b77b-e5b65ebc440b,"[0.5682064264866685, 0.6512053967630351, 0.8302478205743062, 0.9108693810141635, 0.0141504183245309, 0.5647491677192447, 0.9747290188142644, 0.8907069745818892, 0.7595965877000783]",-7.499291896820068,780.2359237670898
da4c7fdc-eb62-11eb-b77b-e5b65ebc440b,"[0.6535053201140174, 0.5885082463244174, 0.44572891333936404, 0.7666316575152148, 0.7311924357967249, 0.06618711765241125, 0.8445446087764378, 0.5517424355281817, 0.38345936716555196]",-7.839244842529297,805.360107421875
18172614-eb63-11eb-b77b-e5b65ebc440b,"[0.15891256757030547, 0.6241496243324226, 0.9657317182977493, 0.19059080221759683, 0.3847117059561531, 0.053900318205355346, 0.12788759327535693, 0.5451644051628409, 0.5688534429285582]",-7.839245796203613,895.7794742584229
1ce3cf58-eb63-11eb-b77b-e5b65ebc440b,"[0.8751699704080075, 0.4312414234697003, 0.3311278010908225, 0.42462500429111394, 0.7212200749427701, 0.9120796652482156, 0.6810818859423331, 0.04834297048842018, 0.22752285191229404]",-7.499289512634277,899.2494115829468
2002ac4a-eb63-11eb-b77b-e5b65ebc440b,"[0.046991508517273295, 0.8766511169877563, 0.6494763739499986, 0.21378870615491674, 0.6797226011726781, 0.30193831375483526, 0.2994088972951815, 0.25842647897430227, 0.4570254955053097]",-7.839244842529297,917.4589898586273
